,SH_510050IV
2017-04-12,10.0633
2017-04-13,10.0696
2017-04-14,10.5048
2017-04-17,10.3416
2017-04-18,10.3287
2017-04-19,10.6608
2017-04-20,10.2423
2017-04-21,9.7295
2017-04-24,10.2077
2017-04-25,9.84
2017-04-26,9.4515
2017-04-27,9.3285
2017-04-28,9.3112
2017-05-02,9.3279
2017-05-03,9.3045
2017-05-04,9.2265
2017-05-05,9.4369
2017-05-08,9.4538
2017-05-09,9.097
2017-05-10,8.7264
2017-05-11,8.8681
2017-05-12,8.9619
2017-05-15,9.1785
2017-05-16,9.1102
2017-05-17,8.7477
2017-05-18,8.5892
2017-05-19,8.7534
2017-05-22,8.868
2017-05-23,9.618
2017-05-24,9.7318
2017-05-25,12.6772
2017-05-26,11.175999999999998
2017-05-31,12.5296
2017-06-01,12.8407
2017-06-02,13.0294
2017-06-05,12.5385
2017-06-06,12.5676
2017-06-07,13.9179
2017-06-08,14.349
2017-06-09,15.2348
2017-06-12,15.5787
2017-06-13,15.2248
2017-06-14,14.554
2017-06-15,14.0214
2017-06-16,13.4167
2017-06-19,13.8011
2017-06-20,14.0906
2017-06-21,13.4725
2017-06-22,13.7544
2017-06-23,14.0339
2017-06-26,15.5479
2017-06-27,14.9943
2017-06-28,15.1978
2017-06-29,14.5568
2017-06-30,14.4786
2017-07-03,14.0332
2017-07-04,13.219
2017-07-05,14.3103
2017-07-06,13.9277
2017-07-07,13.9891
2017-07-10,14.0174
2017-07-11,13.8557
2017-07-12,14.9064
2017-07-13,14.9003
2017-07-14,15.8781
2017-07-17,17.5032
2017-07-18,17.0975
2017-07-19,16.2032
2017-07-20,17.3697
2017-07-21,16.3148
2017-07-24,15.8841
2017-07-25,15.5576
2017-07-26,16.078
2017-07-27,16.0428
2017-07-28,15.7383
2017-07-31,15.8752
2017-08-01,15.2189
2017-08-02,14.9502
2017-08-03,15.4328
2017-08-04,15.0859
2017-08-07,15.5298
2017-08-08,15.135
2017-08-09,14.404000000000002
2017-08-10,13.8246
2017-08-11,14.751
2017-08-14,14.4336
2017-08-15,14.1491
2017-08-16,14.0192
2017-08-17,13.8055
2017-08-18,13.5735
2017-08-21,13.2144
2017-08-22,12.5941
2017-08-23,13.244000000000002
2017-08-24,12.9061
2017-08-25,13.97
2017-08-28,14.508
2017-08-29,15.0216
2017-08-30,14.7745
2017-08-31,14.6958
2017-09-01,14.6146
2017-09-04,15.1302
2017-09-05,15.1202
2017-09-06,15.3332
2017-09-07,14.8306
2017-09-08,14.5944
2017-09-11,15.2598
2017-09-12,15.3148
2017-09-13,15.4398
2017-09-14,14.1765
2017-09-15,13.73
2017-09-18,13.8199
2017-09-19,13.0505
2017-09-20,12.9076
2017-09-21,12.8819
2017-09-22,12.7258
2017-09-25,12.9722
2017-09-26,12.8778
2017-09-27,12.4878
2017-09-28,10.6469
2017-09-29,11.049
2017-10-09,11.6932
2017-10-10,11.7609
2017-10-11,11.1479
2017-10-12,10.7961
2017-10-13,10.7862
2017-10-16,10.6489
2017-10-17,10.7534
2017-10-18,10.3788
2017-10-19,10.5348
2017-10-20,10.5628
2017-10-23,10.4667
2017-10-24,11.7395
2017-10-25,11.5013
2017-10-26,11.2859
2017-10-27,10.8488
2017-10-30,11.7219
2017-10-31,11.0659
2017-11-01,10.7864
2017-11-02,10.6881
2017-11-03,10.5338
2017-11-06,10.8063
2017-11-07,10.5274
2017-11-08,10.835
2017-11-09,10.9573
2017-11-10,11.4621
2017-11-13,11.645
2017-11-14,12.3834
2017-11-15,12.4403
2017-11-16,12.1607
2017-11-17,12.8533
2017-11-20,14.714
2017-11-21,15.2005
2017-11-22,16.1458
2017-11-23,16.3167
2017-11-24,17.097
2017-11-27,18.244
2017-11-28,15.1684
2017-11-29,15.4632
2017-11-30,16.1639
2017-12-01,17.5346
2017-12-04,16.1619
2017-12-05,15.4596
2017-12-06,16.3674
2017-12-07,15.7373
2017-12-08,15.2106
2017-12-11,14.8396
2017-12-12,15.4061
2017-12-13,15.3111
2017-12-14,15.1589
2017-12-15,14.8782
2017-12-18,15.5096
2017-12-19,15.2981
2017-12-20,15.4704
2017-12-21,14.9123
2017-12-22,14.8692
2017-12-25,15.4705
2017-12-26,15.2318
2017-12-27,16.908
2017-12-28,15.5965
2017-12-29,14.3678
2018-01-02,15.1641
2018-01-03,14.957
2018-01-04,14.6913
2018-01-05,14.6373
2018-01-08,14.9857
2018-01-09,14.4876
2018-01-10,14.806
2018-01-11,15.1486
2018-01-12,14.4608
2018-01-15,15.953
2018-01-16,16.9903
2018-01-17,17.8204
2018-01-18,19.046
2018-01-19,19.0437
2018-01-22,19.0487
2018-01-23,19.4223
2018-01-24,21.1912
2018-01-25,18.9309
2018-01-26,17.2779
2018-01-29,18.6965
2018-01-30,17.1921
2018-01-31,17.3799
2018-02-01,17.0149
2018-02-02,17.2229
2018-02-05,18.786
2018-02-06,22.4535
2018-02-07,24.3185
2018-02-08,25.9157
2018-02-09,33.4222
2018-02-12,28.4585
2018-02-13,27.8494
2018-02-14,27.59800000000001
2018-02-22,26.0865
2018-02-23,23.7622
2018-02-26,24.6961
2018-02-27,25.5132
2018-02-28,25.8979
2018-03-01,23.9458
2018-03-02,23.6509
2018-03-05,22.2813
2018-03-06,21.3214
2018-03-07,22.1672
2018-03-08,21.1343
2018-03-09,20.6632
2018-03-12,21.6133
2018-03-13,22.0528
2018-03-14,21.245
2018-03-15,20.6853
2018-03-16,21.0768
2018-03-19,21.3203
2018-03-20,21.0841
2018-03-21,21.5792
2018-03-22,21.212
2018-03-23,25.2731
2018-03-26,25.0524
2018-03-27,23.9619
2018-03-28,25.1134
2018-03-29,25.1859
2018-03-30,25.1748
2018-04-02,24.9661
2018-04-03,24.8776
2018-04-04,24.6205
2018-04-09,25.1599
2018-04-10,23.6266
2018-04-11,24.1425
2018-04-12,24.5697
2018-04-13,24.8788
2018-04-16,25.7583
2018-04-17,25.8628
2018-04-18,25.5059
2018-04-19,23.8772
2018-04-20,23.1153
2018-04-23,23.0948
