,510800
2020-07-15,1.2996
2020-07-16,1.249
2020-07-17,1.2583
2020-07-20,1.2986
2020-07-21,1.2987
2020-07-22,1.3027
2020-07-23,1.301
2020-07-24,1.2522
2020-07-27,1.2539
2020-07-28,1.2628
2020-07-29,1.2872
2020-07-30,1.2826
2020-07-31,1.2919999999999998
2020-08-03,1.3045
2020-08-04,1.3163
2020-08-05,1.3087
2020-08-06,1.3095
2020-08-07,1.2989
2020-08-10,1.3090000000000002
2020-08-11,1.3002
2020-08-12,1.2963
2020-08-13,1.2929
2020-08-14,1.3109
2020-08-17,1.3428
2020-08-18,1.3463
2020-08-19,1.3227
2020-08-20,1.3065
2020-08-21,1.3153
2020-08-24,1.3204
2020-08-25,1.3251
2020-08-26,1.3123
2020-08-27,1.3174
2020-08-28,1.349
2020-08-31,1.3396
2020-09-01,1.344
2020-09-02,1.3415
2020-09-03,1.337
2020-09-04,1.3279
2020-09-07,1.3054
2020-09-08,1.3196
2020-09-09,1.2984
2020-09-10,1.3019999999999998
2020-09-11,1.3102
2020-09-14,1.3214
2020-09-15,1.3304
2020-09-16,1.3237
2020-09-17,1.3125
2020-09-18,1.3448
2020-09-21,1.332
2020-09-22,1.3169
2020-09-23,1.3192
2020-09-24,1.2964
2020-09-25,1.3006
2020-09-28,1.3090000000000002
2020-09-29,1.3055
2020-09-30,1.3021
2020-10-09,1.3241
2020-10-12,1.3644
2020-10-13,1.364
2020-10-14,1.357
2020-10-15,1.3576
2020-10-16,1.3614
2020-10-19,1.351
2020-10-20,1.3548
2020-10-21,1.3601
2020-10-22,1.3579
2020-10-23,1.3489
2020-10-26,1.3325
2020-10-27,1.3285
2020-10-28,1.336
2020-10-29,1.3403
2020-10-30,1.3229
2020-11-02,1.3168
2020-11-03,1.3334
2020-11-04,1.3431
2020-11-05,1.358
2020-11-06,1.3537
2020-11-09,1.3784
2020-11-10,1.3773
2020-11-11,1.3759
2020-11-12,1.3706
2020-11-13,1.3475
2020-11-16,1.3629
2020-11-17,1.3639
2020-11-18,1.367
2020-11-19,1.376
2020-11-20,1.3769
2020-11-23,1.3995
2020-11-24,1.3898
2020-11-25,1.3806
2020-11-26,1.3905
2020-11-27,1.4117
2020-11-30,1.4004
2020-12-01,1.4340000000000002
2020-12-02,1.4311
2020-12-03,1.4277
2020-12-04,1.4294
2020-12-07,1.4168
2020-12-08,1.4124
2020-12-09,1.4
2020-12-10,1.3964
2020-12-11,1.3839
2020-12-14,1.3974
2020-12-15,1.3977
2020-12-16,1.4053
2020-12-17,1.4266
2020-12-18,1.4143
2020-12-21,1.4203
2020-12-22,1.4001
2020-12-23,1.4093
2020-12-24,1.4069
2020-12-25,1.4161
2020-12-28,1.4204
2020-12-29,1.4179
2020-12-30,1.4419
2020-12-31,1.469
2021-01-04,1.4701
2021-01-05,1.4858
2021-01-06,1.5065
2021-01-07,1.5353
2021-01-08,1.5274
2021-01-11,1.5226
2021-01-12,1.5734
2021-01-13,1.5601
2021-01-14,1.5361
2021-01-15,1.5389
2021-01-18,1.5519999999999998
2021-01-19,1.5359
2021-01-20,1.5383
2021-01-21,1.5525
2021-01-22,1.5526
2021-01-25,1.5729
2021-01-26,1.5394
2021-01-27,1.5413
2021-01-28,1.5084
2021-01-29,1.4997
2021-02-01,1.5137
2021-02-02,1.5231
2021-02-03,1.5245
2021-02-04,1.5343
2021-02-05,1.55
2021-02-08,1.57
2021-02-09,1.5946
2021-02-10,1.6247
2021-02-18,1.6186
2021-02-19,1.6185
2021-02-22,1.5664
2021-02-23,1.5732
2021-02-24,1.5365
2021-02-25,1.5545
2021-02-26,1.5174
2021-03-01,1.5295
2021-03-02,1.5025
2021-03-03,1.5433
2021-03-04,1.5
2021-03-05,1.4922
2021-03-08,1.4464
2021-03-09,1.4213
2021-03-10,1.4302
2021-03-11,1.4681
2021-03-12,1.4713
2021-03-15,1.445
2021-03-16,1.4579
2021-03-17,1.4547
2021-03-18,1.4606
2021-03-19,1.4235
2021-03-22,1.4340000000000002
2021-03-23,1.4256
2021-03-24,1.4056
2021-03-25,1.4049
2021-03-26,1.4311
2021-03-29,1.4342
2021-03-30,1.4501
2021-03-31,1.4352
2021-04-01,1.4528
2021-04-02,1.4664
2021-04-06,1.4577
2021-04-07,1.4433
2021-04-08,1.4494
2021-04-09,1.4257
2021-04-12,1.4108
2021-04-13,1.4048
2021-04-14,1.4079
2021-04-15,1.3926
2021-04-16,1.3994
2021-04-19,1.4261
2021-04-20,1.425
2021-04-21,1.4276
2021-04-22,1.419
