,margin_balance,short_balance
2016-01-11,1062080000000.0,2392055699.0
2016-01-12,1042740000000.0,2349224826.0
2016-01-13,1023980000000.0,2309207830.0
2016-01-14,1014220000000.0,2296173247.0
2016-01-15,997496000000.0,2227975630.0
2016-01-18,996919000000.0,2254666478.0
2016-01-19,995328000000.0,2388024134.0
2016-01-20,991560000000.0,2307534094.0
2016-01-21,983253000000.0,2337229924.0
2016-01-22,979022000000.0,2251680411.0
2016-01-25,975258000000.0,2280905377.0
2016-01-26,950995000000.0,2118551309.0
2016-01-27,929700000000.0,2128128145.0
2016-01-28,913398000000.0,2067281312.0
2016-01-29,907108000000.0,2063749648.0
2016-02-01,897631000000.0,2003866969.0
2016-02-02,898105000000.0,2034905501.0
2016-02-03,892767000000.0,2009087960.0
2016-02-04,888393000000.0,1992239174.0
2016-02-05,869935000000.0,1810327186.0
2016-02-15,873253000000.0,1897117269.0
2016-02-16,878980000000.0,2058809291.0
2016-02-17,880360000000.0,2177946048.0
2016-02-18,882721000000.0,2168891670.0
2016-02-19,881762000000.0,2102830563.0
2016-02-22,885147000000.0,2214448285.0
2016-02-23,884868000000.0,2213596657.0
2016-02-24,887038000000.0,2254621702.0
2016-02-25,873419000000.0,2124897989.0
2016-02-26,867563000000.0,2115181704.0
2016-02-29,850872000000.0,2096269082.0
2016-03-01,848317000000.0,2167418203.0
2016-03-02,852377000000.0,2283747871.0
2016-03-03,854259000000.0,2312316680.0
2016-03-04,841204000000.0,2332501118.0
2016-03-07,845735000000.0,2321858069.0
2016-03-08,843841000000.0,2330006983.0
2016-03-09,839340000000.0,2388422850.0
2016-03-10,836754000000.0,2315760380.0
2016-03-11,833458000000.0,2276182776.0
2016-03-14,840625000000.0,2282107488.0
2016-03-15,835262000000.0,2335182993.0
2016-03-16,826785000000.0,2362895270.0
2016-03-17,837388000000.0,2217062774.0
2016-03-18,845183000000.0,2218174430.0
2016-03-21,863262000000.0,2249747328.0
2016-03-22,868012000000.0,2129379273.0
2016-03-23,873351000000.0,2175458103.0
2016-03-24,872889000000.0,2168626137.0
2016-03-25,873738000000.0,2157422721.0
2016-03-28,874853000000.0,2208301833.0
2016-03-29,873510000000.0,2223885956.0
2016-03-30,877840000000.0,2286419096.0
2016-03-31,878626000000.0,2307444706.0
2016-04-01,871834000000.0,2324405028.0
2016-04-05,884261000000.0,2363845658.0
2016-04-06,887250000000.0,2373057928.0
2016-04-07,886631000000.0,2354796144.0
2016-04-08,882264000000.0,2346436647.0
2016-04-11,887477000000.0,2401901404.0
2016-04-12,883815000000.0,2409343132.0
2016-04-13,892287000000.0,2392726767.0
2016-04-14,895140000000.0,2399642651.0
2016-04-15,891478000000.0,2407465852.0
2016-04-18,889989000000.0,2421961970.0
2016-04-19,890802000000.0,2440339116.0
2016-04-20,877714000000.0,2510423325.0
2016-04-21,873984000000.0,2465665076.0
2016-04-22,869807000000.0,2371610954.0
2016-04-25,868208000000.0,2425976090.0
2016-04-26,867232000000.0,2447868844.0
