,SH_510050SKEW
2019-01-21,106.4523
2019-01-22,101.9739
2019-01-23,102.4995
2019-01-24,103.3425
2019-01-25,105.3483
2019-01-28,104.4286
2019-01-29,104.9812
2019-01-30,103.6676
2019-01-31,105.079
2019-02-01,106.3453
2019-02-11,107.7189
2019-02-12,107.5742
2019-02-13,109.8007
2019-02-14,106.8349
2019-02-15,104.0958
2019-02-18,106.2061
2019-02-19,105.466
2019-02-20,105.4938
2019-02-21,104.1114
2019-02-22,106.411
2019-02-25,106.411
2019-02-26,105.5583
2019-02-27,104.0186
2019-02-28,102.1863
2019-03-01,105.7643
2019-03-04,106.1371
2019-03-05,105.082
2019-03-06,104.0432
2019-03-07,102.0504
2019-03-08,99.4461
2019-03-11,99.4727
2019-03-12,100.4815
2019-03-13,101.6166
2019-03-14,100.8622
2019-03-15,102.3938
2019-03-18,104.9995
2019-03-19,103.249
2019-03-20,103.2996
2019-03-21,101.0679
2019-03-22,100.9671
2019-03-25,97.4351
2019-03-26,97.1952
2019-03-27,98.7532
2019-03-28,98.9405
2019-03-29,98.9405
2019-04-01,106.5743
2019-04-02,101.9042
2019-04-03,103.0704
2019-04-04,102.535
2019-04-08,101.7161
2019-04-09,101.5937
2019-04-10,101.0504
2019-04-11,100.3191
2019-04-12,98.9883
2019-04-15,99.1981
2019-04-16,103.1768
2019-04-17,100.747
2019-04-18,99.0918
2019-04-19,101.2941
2019-04-22,98.4113
2019-04-23,98.9892
2019-04-24,98.5042
2019-04-25,97.1322
2019-04-26,96.0432
2019-04-29,99.2458
2019-04-30,99.1443
2019-05-06,98.3611
2019-05-07,96.8639
2019-05-08,98.0921
2019-05-09,95.8713
2019-05-10,99.2722
2019-05-13,98.2588
2019-05-14,99.2607
2019-05-15,101.3879
2019-05-16,101.7428
2019-05-17,101.4639
2019-05-20,100.0689
2019-05-21,101.8963
2019-05-22,102.6633
2019-05-23,101.3571
2019-05-24,102.3677
2019-05-27,101.6654
2019-05-28,104.2301
2019-05-29,104.677
2019-05-30,103.4892
2019-05-31,102.1276
2019-06-03,102.7559
2019-06-04,101.6117
2019-06-05,101.6047
2019-06-06,101.4514
2019-06-10,103.0987
2019-06-11,103.7017
2019-06-12,103.1058
2019-06-13,104.0103
2019-06-14,102.9471
2019-06-17,104.1496
2019-06-18,104.4775
2019-06-19,107.4863
2019-06-20,105.0565
2019-06-21,99.2986
2019-06-24,99.6539
2019-06-25,98.576
2019-06-26,98.6344
2019-06-27,98.9639
2019-06-28,98.9025
2019-07-01,100.9407
2019-07-02,100.4288
2019-07-03,99.4947
2019-07-04,98.7707
2019-07-05,99.4488
2019-07-08,98.553
2019-07-09,97.8188
2019-07-10,97.5694
