,H00905
2017-12-12,6850.3288
2017-12-13,6898.9372
2017-12-14,6906.2343
2017-12-15,6853.1304
2017-12-18,6813.816999999999
2017-12-19,6870.1439
2017-12-20,6813.1289
2017-12-21,6856.1394
2017-12-22,6860.9597
2017-12-25,6797.9933
2017-12-26,6835.9712
2017-12-27,6784.324000000001
2017-12-28,6818.5221
2017-12-29,6869.6813
2018-01-02,6959.1472
2018-01-03,7020.7204
2018-01-04,7052.9012
2018-01-05,7052.592
2018-01-08,7084.3842
2018-01-09,7083.9054
2018-01-10,7040.1576
2018-01-11,7062.1384
2018-01-12,7032.9418
2018-01-15,6872.4895
2018-01-16,6924.9745
2018-01-17,6887.9679
2018-01-18,6909.2235
2018-01-19,6893.3752
2018-01-22,6976.0844
2018-01-23,6984.1724
2018-01-24,7027.3657
2018-01-25,7014.6355
2018-01-26,7015.6407
2018-01-29,6934.5918
2018-01-30,6938.5025
2018-01-31,6802.1152
2018-02-01,6577.2605
2018-02-02,6599.3578
2018-02-05,6592.0759
2018-02-06,6269.0131
2018-02-07,6276.7809
2018-02-08,6337.3883
2018-02-09,6104.8584
2018-02-12,6263.3355
2018-02-13,6304.9356
2018-02-14,6324.5901
2018-02-22,6457.4519
2018-02-23,6481.5743
2018-02-26,6626.6462
2018-02-27,6605.6308
2018-02-28,6620.2326
2018-03-01,6693.3708
2018-03-02,6656.1253
2018-03-05,6664.6571
2018-03-06,6754.2048
2018-03-07,6689.2634
2018-03-08,6738.7495
2018-03-09,6821.684
2018-03-12,6919.2807
2018-03-13,6873.5258
2018-03-14,6802.2767
2018-03-15,6792.1588
2018-03-16,6755.0059
2018-03-19,6763.2796
2018-03-20,6785.1114
2018-03-21,6736.2447
2018-03-22,6705.4972
2018-03-23,6360.3158
2018-03-26,6487.5918
2018-03-27,6632.4632
2018-03-28,6564.9451
2018-03-29,6632.5536
2018-03-30,6720.3459
2018-04-02,6728.2876
2018-04-03,6659.9599
2018-04-04,6614.1707
2018-04-09,6622.9230000000025
2018-04-10,6664.7918
2018-04-11,6690.0197
2018-04-12,6651.2444
2018-04-13,6624.7025
2018-04-16,6608.4557
2018-04-17,6475.1539
2018-04-18,6562.8696
2018-04-19,6600.4798
2018-04-20,6464.29
2018-04-23,6401.7279
2018-04-24,6548.2565
2018-04-25,6550.9118
2018-04-26,6428.6145
2018-04-27,6444.0702
2018-05-02,6437.8902
2018-05-03,6498.954000000002
2018-05-04,6500.1735
2018-05-07,6621.1884
2018-05-08,6646.304
2018-05-09,6632.6687
2018-05-10,6645.2389
2018-05-11,6591.6626
2018-05-14,6565.6249
2018-05-15,6624.2537
2018-05-16,6606.8635
2018-05-17,6575.2009
2018-05-18,6599.8475
2018-05-21,6685.5099
2018-05-22,6708.8624
2018-05-23,6622.4299
2018-05-24,6600.0581
2018-05-25,6521.8147
2018-05-28,6493.842
2018-05-29,6432.4709
2018-05-30,6265.0546
2018-05-31,6344.9772
2018-06-01,6269.7346
2018-06-04,6267.8246
2018-06-05,6374.2318
2018-06-06,6370.1224
2018-06-07,6331.7116
2018-06-08,6256.6061
2018-06-11,6216.2469
2018-06-12,6284.2142
2018-06-13,6190.3916
2018-06-14,6169.7572
2018-06-15,6059.9177
2018-06-19,5682.3313
2018-06-20,5745.6248
2018-06-21,5626.0609
2018-06-22,5706.8929
2018-06-25,5668.7264
2018-06-26,5707.9186
2018-06-27,5652.0142
2018-06-28,5592.5796
2018-06-29,5774.4114
2018-07-02,5687.2776
2018-07-03,5752.3269
2018-07-04,5670.5503
2018-07-05,5518.5895
2018-07-06,5535.6252
2018-07-09,5660.056
2018-07-10,5693.806
2018-07-11,5583.2288
2018-07-12,5735.4464
2018-07-13,5772.701
2018-07-16,5763.409000000002
2018-07-17,5764.5743
2018-07-18,5722.5526
2018-07-19,5672.4631
2018-07-20,5744.1599
2018-07-23,5787.4307
2018-07-24,5888.0846
2018-07-25,5892.9128
2018-07-26,5854.3327
2018-07-27,5827.6825
2018-07-30,5756.6514
2018-07-31,5760.7559999999985
2018-08-01,5668.2253
2018-08-02,5546.8064
2018-08-03,5473.4735
2018-08-06,5357.4932
2018-08-07,5503.6941
2018-08-08,5418.9744
2018-08-09,5557.0446
2018-08-10,5587.5261
2018-08-13,5615.1015
2018-08-14,5595.8075
2018-08-15,5480.0468
2018-08-16,5430.8694
2018-08-17,5336.0557
2018-08-20,5369.3737
2018-08-21,5435.4807
2018-08-22,5374.9216
2018-08-23,5404.6178
